Record Id,Account Owner.id,Account Owner,Rating,Account Name,Phone,Account Site,Fax,Parent Account.id,Parent Account,Website,Account Number,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Last Activity Time,Change Log Time,Locked,Last Enriched Time,Enrich Status,Connected To.module,Connected To.id
zcrm_7083895000000613527,zcrm_7083895000000581282,Lucas Rocha,,SBM OFFSHORE,,,,,,https://www.linkedin.com/company/sbmoffshore/,0,,,,Oil & Gas,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 17:50:00,2025-11-30 22:14:26,,,,,,,,,,,,2025-11-30 22:14:26,2025-11-30 22:14:26,false,,,,
zcrm_7083895000000613557,zcrm_7083895000000581282,Lucas Rocha,,OCEANPACT,,,,,,http://www.oceanpact.com,0,,,,Empreendimento Pequeno/Médio,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-25 17:53:32,2025-11-25 17:53:32,,,,,,,,,,,,2025-12-11 11:27:08,,false,,,,
zcrm_7083895000000613583,zcrm_7083895000000581282,Lucas Rocha,,FIBRASA S.A.,,,,,,https://www.linkedin.com/company/fibrasa-s-a/,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-26 09:37:04,2025-11-26 09:37:04,,,,,,,,,,,,2025-12-22 11:00:00,,false,,,,
zcrm_7083895000000625009,zcrm_7083895000000581282,Lucas Rocha,,BRAVANTE,,,,,,https://www.linkedin.com/in/samuelacerda2908/,0,,,,Empreendimento Pequeno/Médio,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-26 10:15:57,2025-11-26 10:44:29,,,,,,,,,,,,2025-11-26 10:44:29,2025-11-26 10:44:29,false,,,,
zcrm_7083895000000625056,zcrm_7083895000000581282,Lucas Rocha,,WILSON SONS,,,,,,,0,,,,Empreendimento Pequeno/Médio,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-26 11:29:35,2025-11-26 11:29:35,,,,,,,,,,,,2025-11-26 11:31:28,,false,,,,
zcrm_7083895000000657011,zcrm_7083895000000581282,Lucas Rocha,,ARCELORMITTAL - PECÉM,+55 85 8173-7407,,,,,,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-27 14:24:36,2025-11-28 10:43:39,,,,,,,,,,,,2025-12-22 10:57:24,2025-11-28 10:43:39,false,,,,
zcrm_7083895000000666024,zcrm_7083895000000580001,Gustavo Zatta,,ARCELORMITTAL - TUBARÃO,,,,,,,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-28 10:44:50,2025-11-28 10:44:50,,,,,,,,,,,,2025-12-22 09:45:58,,false,,,,
zcrm_7083895000000672182,zcrm_7083895000000581282,Lucas Rocha,,Imetame,,,,,,,0,,,,Empreendimento Pequeno/Médio,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-11-30 21:22:53,2025-12-04 19:04:31,,,,,,,,,,,,2025-12-04 19:06:20,2025-12-04 19:04:31,false,,,,
zcrm_7083895000000672218,zcrm_7083895000000580001,Gustavo Zatta,,VALE CARAJÁS,,,,,,,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000580001,Gustavo Zatta,2025-11-30 21:25:47,2025-12-01 15:16:27,,,,,,,,,,,,2026-01-05 15:37:58,2025-12-01 15:16:27,false,,,,
zcrm_7083895000000683190,zcrm_7083895000000581282,Lucas Rocha,,Biancogres,,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-01 17:57:46,2025-12-01 17:57:46,,,,,,,,,,,,2025-12-01 17:57:46,,false,,,,
zcrm_7083895000000683249,zcrm_7083895000000581282,Lucas Rocha,,Modec,+55 27 99979-5059,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-02 10:42:28,2025-12-02 10:42:28,,,,,,,,,,,,2025-12-04 14:46:23,,false,,,,
zcrm_7083895000000698055,zcrm_7083895000000581282,Lucas Rocha,,Real Café,,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-04 17:15:29,2025-12-04 17:15:29,,,,,,,,,,,,2025-12-22 10:50:25,,false,,,,
zcrm_7083895000000698073,zcrm_7083895000000581282,Lucas Rocha,,Zucchi Granitos,,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-04 17:15:45,2025-12-04 17:15:45,,,,,,,,,,,,2025-12-04 17:15:45,,false,,,,
zcrm_7083895000000698091,zcrm_7083895000000581282,Lucas Rocha,,Elkem,,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-04 17:15:59,2025-12-04 17:15:59,,,,,,,,,,,,2025-12-04 17:15:59,,false,,,,
zcrm_7083895000000698134,zcrm_7083895000000581282,Lucas Rocha,,Remazel,,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-05 10:03:57,2025-12-05 10:03:57,,,,,,,,,,,,2025-12-14 22:14:34,,false,,,,
zcrm_7083895000000715051,zcrm_7083895000000581282,Lucas Rocha,,Vports,,,,,,,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-09 17:47:47,2025-12-09 17:51:12,,,,,,,,,,,,2025-12-20 08:34:38,2025-12-09 17:51:12,false,,,,
zcrm_7083895000000736010,zcrm_7083895000000581282,Lucas Rocha,,Rockwell,,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-15 17:42:27,2025-12-15 17:42:27,,,,,,,,,,,,2025-12-15 17:44:27,,false,,,,
zcrm_7083895000000744030,zcrm_7083895000000581282,Lucas Rocha,,Gerdau,,,,,,,0,,,,,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-18 10:28:22,2025-12-18 10:28:22,,,,,,,,,,,,2025-12-22 09:53:30,,false,,,,
zcrm_7083895000000755056,zcrm_7083895000000581282,Lucas Rocha,,PERFIL ALUMÍNIO DO BRASIL S.A.,+55 27 99900-0110,,,,,,0,,,,Grande Empreendimento,,,,zcrm_7083895000000581282,Lucas Rocha,zcrm_7083895000000581282,Lucas Rocha,2025-12-22 11:06:23,2025-12-22 11:07:33,,,,,,,,,,,,2025-12-22 11:12:09,2025-12-22 11:07:33,false,,,,
